instance,variant,ants,iters,alpha,beta,rho,w,q0,xi,rep,best_value,best_weight,feasible,elapsed_ms
p01,ASRank,50,300,1,2,0.3,5,0,0,3,309,165,1,24
p01,ASRank,50,300,1,2,0.3,10,0,0,1,309,165,1,24
p01,ASRank,50,300,1,2,0.3,10,0,0,2,309,165,1,24
p01,ASRank,50,300,1,2,0.3,10,0,0,3,309,165,1,26
p01,ASRank,50,300,1,3,0.1,5,0,0,1,309,165,1,26
p01,ASRank,50,300,1,3,0.1,5,0,0,2,309,165,1,25
p01,ASRank,50,300,1,3,0.1,5,0,0,3,309,165,1,26
p01,ASRank,50,300,1,3,0.1,10,0,0,1,309,165,1,26
p01,ASRank,50,300,1,3,0.1,10,0,0,2,309,165,1,26
p01,ASRank,50,300,1,3,0.1,10,0,0,3,309,165,1,26
p01,ASRank,50,300,1,3,0.3,5,0,0,1,309,165,1,29
p01,ASRank,50,300,1,3,0.3,5,0,0,2,309,165,1,26
p01,ASRank,50,300,1,3,0.3,5,0,0,3,309,165,1,24
p01,ASRank,50,300,1,3,0.3,10,0,0,1,309,165,1,24
p01,ASRank,50,300,1,3,0.3,10,0,0,2,309,165,1,24
p01,ASRank,50,300,1,3,0.3,10,0,0,3,309,165,1,24
p01,ASRank,50,300,1,4,0.1,5,0,0,1,309,165,1,24
p01,ASRank,50,300,1,4,0.1,5,0,0,2,309,165,1,24
p01,ASRank,50,300,1,4,0.1,5,0,0,3,309,165,1,25
p01,ASRank,50,300,1,4,0.1,10,0,0,1,309,165,1,24
p01,ASRank,50,300,1,4,0.1,10,0,0,2,309,165,1,25
p01,ASRank,50,300,1,4,0.1,10,0,0,3,309,165,1,26
p01,ASRank,50,300,1,4,0.3,5,0,0,1,309,165,1,26
p01,ASRank,50,300,1,4,0.3,5,0,0,2,309,165,1,26
p01,ASRank,50,300,1,4,0.3,5,0,0,3,309,165,1,25
p01,ASRank,50,300,1,4,0.3,10,0,0,1,309,165,1,28
p01,ASRank,50,300,1,4,0.3,10,0,0,2,309,165,1,27
p01,ASRank,50,300,1,4,0.3,10,0,0,3,309,165,1,24
p01,ASRank,50,600,1,2,0.1,5,0,0,1,309,165,1,48
p01,ASRank,50,600,1,2,0.1,5,0,0,2,309,165,1,50
p01,ASRank,50,600,1,2,0.1,5,0,0,3,309,165,1,50
p01,ASRank,50,600,1,2,0.1,10,0,0,1,309,165,1,51
p01,ASRank,50,600,1,2,0.1,10,0,0,2,309,165,1,51
p01,ASRank,50,600,1,2,0.1,10,0,0,3,309,165,1,51
p01,ASRank,50,600,1,2,0.3,5,0,0,1,309,165,1,50
p01,ASRank,50,600,1,2,0.3,5,0,0,2,309,165,1,52
p01,ASRank,50,600,1,2,0.3,5,0,0,3,309,165,1,49
p01,ASRank,50,600,1,2,0.3,10,0,0,1,309,165,1,50
p01,ASRank,50,600,1,2,0.3,10,0,0,2,309,165,1,50
p01,ASRank,50,600,1,2,0.3,10,0,0,3,309,165,1,53
p01,ASRank,50,600,1,3,0.1,5,0,0,1,309,165,1,53
p01,ASRank,50,600,1,3,0.1,5,0,0,2,309,165,1,54
p01,ASRank,50,600,1,3,0.1,5,0,0,3,309,165,1,50
p01,ASRank,50,600,1,3,0.1,10,0,0,1,309,165,1,57
p01,ASRank,50,600,1,3,0.1,10,0,0,2,309,165,1,52
p01,ASRank,50,600,1,3,0.1,10,0,0,3,309,165,1,49
p01,ASRank,50,600,1,3,0.3,5,0,0,1,309,165,1,50
p01,ASRank,50,600,1,3,0.3,5,0,0,2,309,165,1,61
p01,ASRank,50,600,1,3,0.3,5,0,0,3,309,165,1,51
p01,ASRank,50,600,1,3,0.3,10,0,0,1,309,165,1,48
p01,ASRank,50,600,1,3,0.3,10,0,0,2,309,165,1,49
p01,ASRank,50,600,1,3,0.3,10,0,0,3,309,165,1,55
p01,ASRank,50,600,1,4,0.1,5,0,0,1,309,165,1,55
p01,ASRank,50,600,1,4,0.1,5,0,0,2,309,165,1,55
p01,ASRank,50,600,1,4,0.1,5,0,0,3,309,165,1,58
p01,ASRank,50,600,1,4,0.1,10,0,0,1,309,165,1,50
p01,ASRank,50,600,1,4,0.1,10,0,0,2,309,165,1,56
p01,ASRank,50,600,1,4,0.1,10,0,0,3,309,165,1,57
p01,ASRank,50,600,1,4,0.3,5,0,0,1,309,165,1,53
p01,ASRank,50,600,1,4,0.3,5,0,0,2,309,165,1,51
p01,ASRank,50,600,1,4,0.3,5,0,0,3,309,165,1,64
p01,ASRank,50,600,1,4,0.3,10,0,0,1,309,165,1,56
p01,ASRank,50,600,1,4,0.3,10,0,0,2,309,165,1,59
p01,ASRank,50,600,1,4,0.3,10,0,0,3,309,165,1,54
p01,ASRank,100,300,1,2,0.1,5,0,0,1,309,165,1,57
p01,ASRank,100,300,1,2,0.1,5,0,0,2,309,165,1,56
p01,ASRank,100,300,1,2,0.1,5,0,0,3,309,165,1,54
p01,ASRank,100,300,1,2,0.1,10,0,0,1,309,165,1,57
p01,ASRank,100,300,1,2,0.1,10,0,0,2,309,165,1,59
p01,ASRank,100,300,1,2,0.1,10,0,0,3,309,165,1,53
p01,ASRank,100,300,1,2,0.3,5,0,0,1,309,165,1,59
p01,ASRank,100,300,1,2,0.3,5,0,0,2,309,165,1,59
p01,ASRank,100,300,1,2,0.3,5,0,0,3,309,165,1,54
p01,ASRank,100,300,1,2,0.3,10,0,0,1,309,165,1,51
p01,ASRank,100,300,1,2,0.3,10,0,0,2,309,165,1,50
p01,ASRank,100,300,1,2,0.3,10,0,0,3,309,165,1,52
p01,ASRank,100,300,1,3,0.1,5,0,0,1,309,165,1,52
p01,ASRank,100,300,1,3,0.1,5,0,0,2,309,165,1,58
p01,ASRank,100,300,1,3,0.1,5,0,0,3,309,165,1,57
p01,ASRank,100,300,1,3,0.1,10,0,0,1,309,165,1,57
p01,ASRank,100,300,1,3,0.1,10,0,0,2,309,165,1,70
p01,ASRank,100,300,1,3,0.1,10,0,0,3,309,165,1,51
p01,ASRank,100,300,1,3,0.3,5,0,0,1,309,165,1,56
p01,ASRank,100,300,1,3,0.3,5,0,0,2,309,165,1,61
p01,ASRank,100,300,1,3,0.3,5,0,0,3,309,165,1,53
p01,ASRank,100,300,1,3,0.3,10,0,0,1,309,165,1,67
p01,ASRank,100,300,1,3,0.3,10,0,0,2,309,165,1,59
p01,ASRank,100,300,1,3,0.3,10,0,0,3,309,165,1,63
p01,ASRank,100,300,1,4,0.1,5,0,0,1,309,165,1,56
p01,ASRank,100,300,1,4,0.1,5,0,0,2,309,165,1,58
p01,ASRank,100,300,1,4,0.1,5,0,0,3,309,165,1,52
