instance,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_100\test.in,ACS,0,0,1,0.0001058,0.000106465,1.0965e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_200\test.in,AS,0,0,1,0.0003895,0.000334685,1.73986e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_200\test.in,ASRank,0,0,1,0.0005118,0.000541965,7.72602e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_200\test.in,MMAS,0,0,1,0.000397,0.000350745,3.60529e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_200\test.in,ACS,0,0,1,0.000124,0.00010959,7.11403e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_300\test.in,AS,0,0,1,0.0005307,0.000345775,5.06439e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_300\test.in,ASRank,0,0,1,0.0007942,0.000530865,6.56856e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_300\test.in,MMAS,0,0,1,0.0003323,0.00035136,4.40963e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_1e-05_s_300\test.in,ACS,0,0,1,0.0001073,0.000106805,1.09973e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_100\test.in,AS,0,0,1,0.0003307,0.000340305,4.62381e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_100\test.in,ASRank,0,0,1,0.0005162,0.00080241,0.000192732,0,0,112346
