instance,profile,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
p08.txt,2,ACS,13509694,6390248,1,0.10116,0.120012,0.012248,0,0,412352
p01.txt,3,AS,309,165,1,0.0884918,0.108922,0.0227481,0,0,112363
p01.txt,3,ASRank,309,165,1,0.080713,0.0867942,0.00574132,0,0,212364
p01.txt,3,MMAS,309,165,1,0.0798455,0.0954259,0.0192833,0,0,312363
p01.txt,3,ACS,309,165,1,0.081272,0.0956307,0.019599,0,0,412357
p02.txt,3,AS,51,26,1,0.0283138,0.0446616,0.0136944,0,0,112348
p02.txt,3,ASRank,51,26,1,0.0417566,0.0516721,0.00719196,0,0,212350
p02.txt,3,MMAS,51,26,1,0.0437415,0.0522797,0.00572284,0,0,312346
p02.txt,3,ACS,51,26,1,0.0455017,0.0475981,0.00264971,0,0,412364
p03.txt,3,AS,150,190,1,0.0658162,0.0679486,0.00152476,0,0,112346
p03.txt,3,ASRank,150,190,1,0.0656614,0.067733,0.00117489,0,0,212360
p03.txt,3,MMAS,150,190,1,0.0633623,0.0680125,0.00233727,0,0,312365
p03.txt,3,ACS,150,190,1,0.0436834,0.0665369,0.00713145,0,0,412365
p04.txt,3,AS,107,50,1,0.0484321,0.071549,0.0224977,0,0,112363
p04.txt,3,ASRank,107,50,1,0.0337238,0.048098,0.0166935,0,0,212350
p04.txt,3,MMAS,107,50,1,0.0533538,0.0602969,0.00295136,0,0,312350
p04.txt,3,ACS,107,50,1,0.050237,0.063248,0.0272225,0,0,412364
p05.txt,3,AS,900,104,1,0.0763272,0.0994645,0.0225825,0,0,112347
p05.txt,3,ASRank,900,104,1,0.123656,0.129364,0.00485457,0,0,212359
p05.txt,3,MMAS,900,104,1,0.0704332,0.103348,0.026644,0,0,312351
p05.txt,3,ACS,900,104,1,0.0713185,0.115389,0.029462,0,0,412347
p06.txt,3,AS,1735,169,1,0.0446556,0.0773729,0.0104563,0,0,112363
p06.txt,3,ASRank,1735,169,1,0.0464911,0.0579888,0.0128706,0,0,212347
p06.txt,3,MMAS,1735,169,1,0.047559,0.0741454,0.0171854,0,0,312348
p06.txt,3,ACS,1735,169,1,0.0719579,0.0822415,0.0259198,0,0,412354
