instance,variant,run,seed,value,weight,feasible,seconds,items,batch
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,AS,17,12362,1412065549,1412065584,1,0.0616964,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,AS,18,12363,1412065549,1412065584,1,0.0443789,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,AS,19,12364,1412065549,1412065584,1,0.0320782,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,AS,20,12365,1412065549,1412065584,1,0.0541556,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,ASRank,1,112346,1412065549,1412065584,1,0.0314462,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,ASRank,2,112347,1412065549,1412065584,1,0.0318628,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,ASRank,3,112348,1412065549,1412065584,1,0.0402084,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,ASRank,4,112349,1412065549,1412065584,1,0.0718844,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,ASRank,5,112350,1412065549,1412065584,1,0.0518766,2 3,seed12345
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.txt,ASRank,6,112351,1412065549,1412065584,1,0.0477108,2 3,seed12345
