instance,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300\test.txt,ASRank,1412065775,1412065461,1,0.0282303,0.0289617,0.000477131,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300\test.txt,MMAS,1412065775,1412065461,1,0.0283384,0.0288485,0.000509948,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300\test.txt,ACS,1412065775,1412065461,1,0.0246283,0.0246562,0.000173318,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100\test.txt,AS,1430065574,1430065470,1,0.0284832,0.0268457,0.00054969,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100\test.txt,ASRank,1430065574,1430065470,1,0.0268332,0.0269907,0.000464138,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100\test.txt,MMAS,1430065574,1430065470,1,0.0266435,0.0267292,0.000348608,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100\test.txt,ACS,1430065574,1430065470,1,0.0224889,0.0224939,0.000468712,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200\test.txt,AS,1430065664,1430065467,1,0.0284181,0.0284321,0.000202924,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200\test.txt,ASRank,1430065664,1430065467,1,0.0287558,0.0289247,0.000510777,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200\test.txt,MMAS,1430065664,1430065467,1,0.0286768,0.0286435,0.000492774,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\prepared\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200\test.txt,ACS,1430065664,1430065467,1,0.0248256,0.0252754,0.000650773,0,0,312346
