variant,instancias,wins,mean_gap_pct,mean_best_value,mean_seconds,std_seconds,hit_optimal_pct
AS,7,7,0.0,1013761198.7142857,0.042565949285714284,0.01854497922621676,100.0
MMAS,7,7,0.0,1013761198.7142857,0.043386730357142855,0.018956629310566634,100.0
ASRank,7,7,0.0,1013761198.7142857,0.043826985,0.018229877469227194,100.0
ACS,7,7,0.0,1013761198.7142857,0.0492423775,0.05766164103123404,100.0
